BASE_WORD	INPUT_WORD	RELATION_ID	CNT
honeybee	mouth	1760	7
bed	pillow	4847	7
rifle	trigger	6136	7
honeybee	body	1430	7
document	header	1061	7
computer	motherboard	2293	7
finger	bone	2198	7
greenhouse	door	3118	7
mansion	kitchen	3293	7
pizza	sausage	4193	7
zebra	tail	5920	7
turtle	mouth	77	7
cat	eyes	249	7
volcano	crater	326	7
chicken	eggs	945	7
male	hands	1084	7
microwave	timer	1185	7
library	desk	2108	7
book	author	45	7
school	class	1301	7
document	title	1058	7
moon	dust	2095	7
park	slide	2303	7
pumpkin	guts	2315	7
magazine	cover	3537	7
zebra	legs	5286	7
shark	fin	163	7
knife	point	1205	7
book	title	1214	7
solar	stars	784	7
horse	feet	937	7
female	nose	965	7
park	swings	991	7
airport	security	1015	7
house	door	1154	7
honeybee	thorax	1289	7
needle	hole	1053	7
liquid	wet	1822	7
male	feet	1082	7
flag	cloth	1136	7
stew	vegetables	1101	7
restaurant	bar	1130	7
monkey	arms	2502	7
town	buildings	1828	7
solar	venus	4149	7
kitchen	stove	189	7
lizard	tail	362	7
chicken	tail	1635	7
school	playground	1725	7
museum	exhibits	982	7
needle	tip	1054	7
gym	treadmill	1073	7
wheel	rubber	1455	7
library	computers	2105	7
park	kids	2030	7
airplane	wing	4076	7
atmosphere	oxygen	5699	7
book	chapters	46	7
honeybee	stripes	567	7
storm	tornado	921	7
volcano	smoke	952	7
pool	diving board	1017	7
bathroom	tub	1150	7
party	games	1384	7
oven	timer	1026	7
chicken	head	1464	7
violin	string	3464	7
sphere	round	2980	7
restaurant	table	3824	7
pencil	wood	5877	7
park	playground	996	6
moon	rock	1344	6
quarter	tail	1350	6
meal	vegetable	1493	6
monkey	hair	2500	6
meal	rice	1987	6
monkey	hand	2691	6
opera	singer	3564	6
sphere	radius	3239	6
pencil	eraser	5879	6
beach	sand	123	6
kitchen	sink	192	6
atmosphere	air	293	6
film	actors	484	6
camera	lens	716	6
museum	art	981	6
airport	gate	1013	6
iphone	apps	1045	6
tank	wheels	1098	6
region	people	2085	6
radio	dial	2218	6
face	lips	3186	6
pencil	lead	5878	6
book	plot	550	6
email	subject	670	6
aquarium	filter	1278	6
purse	pockets	901	6
house	living room	1153	6
oven	stove	1557	6
robot	computer	2092	6
volcano	ash	1842	6
keyboard	keys	3587	6
skateboard	deck	3035	6
mansion	bathroom	4411	6
magazine	articles	5446	6
bus	wheels	30	6
aquarium	tanks	84	6
party	alcohol	1615	6
needle	shaft	2474	6
computer	ram	2269	6
shack	door	3568	6
hunter	eyes	3016	6
male	hand	3043	6
solar	comets	540	6
violin	wood	648	6
king	crown	828	6
game	ball	705	6
house	bedroom	1158	6
novel	characters	1170	6
liquid	atoms	1333	6
eagle	legs	1335	6
quarter	face	1349	6
horse	hoof	1806	6
horse	ears	1812	6
map	streets	2822	6
hunter	legs	3020	6
tree	root	3168	6
bed	mattress	3295	6
pan	handle	5760	6
door	lock	39	6
party	dancing	906	6
liquid	molecules	1332	6
eye	lid	1353	6
moon	cheese	1467	6
book	end	1583	6
computer	processor	2496	6
school	office	1796	6
chicken	feather	2312	6
alligator	tongue	1747	6
storm	cloud	1748	6
meal	vegetables	1978	6
mansion	pool	3030	6
train	caboose	3091	6
bathroom	bathtub	3255	6
airplane	wheels	3781	6
newspaper	news	5307	6
game	loser	413	6
video	credits	1233	6
chicken	leg	1338	6
pipe	tube	1413	6
pool	ladder	2131	6
iphone	apple	2164	6
skateboard	wood	2177	6
skateboard	wheel	2181	6
desk	drawers	2324	6
volcano	fire	1975	6
robot	eyes	2751	6
sphere	circle	2978	6
knight	armor	3257	6
needle	metal	4375	6
lawn	grass	6344	6
shark	teeth	161	6
lake	shore	307	6
cat	tail	404	6
game	pieces	414	6
town	street	740	6
event	people	1197	6
storm	eye	1295	6
honeybee	honey	1315	6
radio	music	1040	6
video	tape	1580	6
car	motor	2536	6
pants	zipper	3525	6
sentence	punctuation	3258	6
stadium	seats	3339	6
town	road	1627	6
violin	body	644	6
pizza	toppings	3957	5
mansion	door	5363	5
song	music	5089	5
book	prologue	49	5
army	tanks	154	5
shark	tail	159	5
dictionary	definitions	205	5
city	building	800	5
meal	main course	961	5
yard	garden	1093	5
honeybee	antenna	1312	5
meal	plate	2168	5
document	signature	2203	5
stew	potatoes	2786	5
yard	flowers	3454	5
wedding	groom	3555	5
region	area	2912	5
male	chest	3383	5
solar	jupiter	4146	5
train	wheels	4218	5
building	window	3929	5
notebook	cover	6027	5
guitar	neck	6062	5
lizard	eyes	6598	5
liquid	oxygen	1462	5
robot	hands	2093	5
game	player	1962	5
train	track	3090	5
bathroom	floor	3252	5
novel	beginning	3311	5
male	mouth	4258	5
gym	floor	3709	5
flag	color	4872	5
door	knob	57	5
elephant	eyes	144	5
game	fun	417	5
film	credits	482	5
pipe	metal	1612	5
purse	pouch	1684	5
car	seat	977	5
train	cars	1180	5
alligator	snout	1420	5
town	downtown	1599	5
desk	chair	2079	5
textbook	page	2104	5
female	ears	2116	5
eagle	mouth	1803	5
map	rivers	2823	5
product	price	2858	5
tree	stem	3448	5
wedding	bride	3556	5
laptop	screen	3595	5
hunter	hands	3012	5
document	heading	3343	5
flower	stem	3389	5
event	beginning	4359	5
restaurant	bathroom	3821	5
zebra	mouth	5922	5
book	table of contents	551	5
building	door	312	5
volcano	eruption	324	5
city	mayor	501	5
quarter	heads	1640	5
story	characters	1121	5
desk	table	1522	5
product	name	1562	5
museum	entrance	2149	5
yard	back	2283	5
pumpkin	skin	3396	5
neighborhood	neighbors	3508	5
hunter	head	3684	5
novel	words	3046	5
president	body	3322	5
knight	helmet	3259	5
farm	house	3887	5
rifle	barrel	6139	5
school	gymnasium	16	5
bus	seats	33	5
truck	wheels	558	5
neighborhood	people	229	5
meal	salad	1363	5
sentence	end	1568	5
female	hands	2115	5
map	legend	2332	5
eagle	feather	1768	5
school	building	1989	5
document	footer	3456	5
male	ears	4260	5
robot	sensors	11	5
army	soldiers	156	5
tree	flowers	164	5
purse	bag	1712	5
airport	planes	662	5
video	introduction	1241	5
school	principal	917	5
robot	wires	1005	5
game	score	1358	5
park	lake	1518	5
president	hands	2618	5
chicken	thighs	1809	5
tree	wood	2266	5
car	seats	2407	5
video	picture	1739	5
map	compass	3411	5
shack	roof	3569	5
dictionary	pages	3052	5
tree	branch	3170	5
face	chin	3187	5
stadium	field	3336	5
solar	uranus	4147	5
soldier	uniform	4823	5
shark	nose	160	5
lizard	scales	361	5
flag	colors	1137	5
quarter	edge	1351	5
female	feet	1850	5
party	hats	1758	5
sentence	object	3256	5
dictionary	paper	3088	5
magazine	pictures	5447	5
truck	steering wheel	556	5
dog	tail	576	5
shark	eyes	157	5
fish	eyes	328	5
fish	mouth	332	5
game	winner	412	5
pants	pockets	453	5
city	suburbs	1226	5
video	plot	1399	5
town	homes	1438	5
finger	tip	1495	5
car	windshield	1503	5
computer	memory	1513	5
product	brand	2117	5
horse	back	1807	5
president	white house	2207	5
monkey	butt	2222	5
horse	teeth	1967	5
nation	state	3579	5
radio	tuner	2920	5
plant	stem	3350	5
university	students	5378	5
notebook	paper	6029	5
neighborhood	streets	228	5
mouth	saliva	385	5
pants	legs	456	5
city	parks	763	5
purse	buckle	885	5
email	body	664	5
honeybee	abdomen	1390	5
alligator	body	1419	5
table	surface	1116	5
